date,home_team,away_team,score,result
14-10-2023,– Munster,Munich 1860,1-1,draw
14-10-2023,– Wales,Croatia,2-1,home
06-10-2023,– Empoli,Udinese,0-0,draw
06-10-2023,– B. Monchengladbach,Mainz,2-2,draw
06-10-2023,– Lecce,Sassuolo,1-1,draw
06-10-2023,– Strasbourg,Nantes,1-2,away
06-10-2023,– Cadiz,Girona,0-1,away
06-10-2023,– Stuttgart,Wolfsburg,3-1,home
06-10-2023,– Crystal Palace,Nottingham,0-0,draw
06-10-2023,– Mallorca,Valencia,1-1,draw
06-10-2023,– Werder Bremen,Hoffenheim,2-3,away
06-10-2023,– Genoa,Milan,0-1,away
06-10-2023,– Reims,Monaco,1-3,away
06-10-2023,– Brighton,Liverpool,2-2,draw
06-10-2023,– West Ham,Newcastle,2-2,draw
06-10-2023,– Wolverhampton,Aston Villa,1-1,draw
06-10-2023,– Frosinone,Verona,2-1,home
06-10-2023,– Lazio,Atalanta,3-2,home
06-10-2023,– Lens,Lille,1-1,draw
06-10-2023,– Arsenal,Manchester City,1-0,home
06-10-2023,– Alaves,Betis,1-1,draw
06-10-2023,– Celta,Getafe,2-2,draw
29-09-2023,– Hoffenheim,Dortmund,1-3,away
29-09-2023,– Strasbourg,Lens,0-1,away
29-09-2023,– Benfica,Porto,1-0,home
29-09-2023,– Aston Villa,Brighton,6-1,home
29-09-2023,– Getafe,Villarreal,0-0,draw
29-09-2023,– Koln,Stuttgart,0-2,away
29-09-2023,– Bochum,B. Monchengladbach,1-3,away
29-09-2023,– Heidenheim,Union Berlin,1-0,home
29-09-2023,– Wolfsburg,Eintracht Frankfurt,2-0,home
29-09-2023,– Tottenham,Liverpool,2-1,home
29-09-2023,– Rayo Vallecano,Mallorca,2-2,draw
29-09-2023,– RB Leipzig,Bayern Munich,2-2,draw
29-09-2023,– Sociedad,Ath Bilbao,3-0,home
29-09-2023,– Monaco,Olympique Marseille,3-2,home
29-09-2023,– Reims,Olympique Lyon,2-0,home
29-09-2023,– Almeria,Granada,3-3,draw
29-09-2023,– Nottingham,Brentford,1-1,draw
29-09-2023,– Darmstadt,Werder Bremen,4-2,home
29-09-2023,– Alaves,Osasuna,0-2,away
29-09-2023,– Betis,Valencia,3-0,home
23-09-2023,– Crystal Palace,Fulham,0-0,draw
23-09-2023,– Luton,Wolverhampton,1-1,draw
23-09-2023,– Middlesbrough,Southampton,2-1,home
23-09-2023,– Plymouth,Norwich,6-2,home
23-09-2023,– Rotherham,Preston,1-1,draw
23-09-2023,– Swansea,Sheffield Wed,3-0,home
23-09-2023,– WBA,Millwall,0-0,draw
23-09-2023,– Osasuna,Sevilla,0-0,draw
23-09-2023,– Almeria,Valencia,2-2,draw
23-09-2023,– Brest,Olympique Lyon,1-0,home
23-09-2023,– Stoke,Hull,1-3,away
23-09-2023,– Ajax,Feyenoord,Abn,unknown
23-09-2023,– Udinese,Fiorentina,0-2,away
23-09-2023,– Sunderland,Cardiff,0-1,away
23-09-2023,– Rayo Vallecano,Villarreal,1-1,draw
23-09-2023,– Montpellier,Rennes,0-0,draw
23-09-2023,– Eintracht Frankfurt,Freiburg,0-0,draw
23-09-2023,– Las Palmas,Granada,1-0,home
23-09-2023,– Torino,Roma,1-1,draw
23-09-2023,– Atl. Madrid,Real Madrid,3-1,home
16-09-2023,– Aston Villa,Crystal Palace,3-1,home
16-09-2023,– Manchester Utd,Brighton,1-3,away
16-09-2023,– Blackburn,Middlesbrough,2-1,home
16-09-2023,– Bristol City,WBA,0-0,draw
16-09-2023,– Preston,Plymouth,2-1,home
16-09-2023,– QPR,Sunderland,1-3,away
16-09-2023,– Sheffield Wed,Ipswich,0-1,away
16-09-2023,– Watford,Birmingham,2-0,home
16-09-2023,– Inter,Milan,5-1,home
16-09-2023,– Bochum,Eintracht Frankfurt,1-1,draw
16-09-2023,– Celta Vigo,Mallorca,0-1,away
16-09-2023,– Cardiff,Swansea,2-0,home
16-09-2023,– Cagliari,Udinese,0-0,draw
16-09-2023,– Millwall,Leeds,0-3,away
16-09-2023,– Getafe,Osasuna,3-2,home
16-09-2023,– Frosinone,Sassuolo,4-2,home
16-09-2023,– Monza,Lecce,1-1,draw
16-09-2023,– Heidenheim,Werder Bremen,4-2,home
16-09-2023,– Darmstadt,B. Monchengladbach,3-3,draw
16-09-2023,– Fiorentina,Atalanta,3-2,home
09-09-2023,– York City,Boreham Wood,2-2,draw
09-09-2023,– Eastleigh,Gateshead,0-6,away
09-09-2023,– Kidderminster,Rochdale,1-1,draw
09-09-2023,– Oxford City,Hartlepool,5-2,home
09-09-2023,– Accrington,Mansfield,0-3,away
09-09-2023,– Wimbledon,Stockport,1-2,away
09-09-2023,– Wealdstone,Ebbsfleet,2-1,home
09-09-2023,– Colchester,Tranmere,2-0,home
09-09-2023,– Crawley,Newport,4-1,home
09-09-2023,– Forest Green,Crewe,1-4,away
09-09-2023,– Milton Keynes Dons,Notts County,1-1,draw
09-09-2023,– Salford,Walsall,1-2,away
09-09-2023,– Romania,Israel,1-1,draw
09-09-2023,– Inter Miami,Sporting Kansas City,3-2,home
09-09-2023,– Portland Timbers,Los Angeles FC,2-0,home
09-09-2023,– Ferrol,Villarreal II,2-2,draw
09-09-2023,– Santander,Amorebieta,1-0,home
09-09-2023,– Cartagena,Zaragoza,1-3,away
09-09-2023,– Mirandes,Andorra,4-3,home
09-09-2023,– Valladolid,Elche,1-1,draw
02-09-2023,– Coventry,Watford,3-3,draw
02-09-2023,– Plymouth,Blackburn,3-0,home
02-09-2023,– Stoke,Preston,0-2,away
02-09-2023,– Gijon,Burgos CF,2-1,home
02-09-2023,– Brest,Rennes,0-0,draw
02-09-2023,– Brighton,Newcastle,3-1,home
02-09-2023,– Alaves,Valencia,1-0,home
02-09-2023,– Betis,Rayo Vallecano,1-0,home
02-09-2023,– Monaco,Lens,3-0,home
02-09-2023,– Greuther Furth,Hannover,1-3,away
02-09-2023,– VfL Osnabruck,Elversberg,0-1,away
02-09-2023,– Crystal Palace,Wolverhampton,3-2,home
02-09-2023,– Le Havre,Lorient,3-0,home
02-09-2023,– Metz,Reims,2-2,draw
02-09-2023,– Mallorca,Ath Bilbao,0-0,draw
02-09-2023,– Eibar,Leganes,0-1,away
02-09-2023,– Nice,Strasbourg,2-0,home
02-09-2023,– Union Berlin,RB Leipzig,0-3,away
02-09-2023,– Torino,Genoa,1-0,home
02-09-2023,– Lecce,Salernitana,2-0,home
26-08-2023,– Brentford,Crystal Palace,1-1,draw
26-08-2023,– Everton,Wolverhampton,0-1,away
26-08-2023,– Birmingham,Plymouth,2-1,home
26-08-2023,– Cardiff,Sheffield Wed,2-1,home
26-08-2023,– Coventry,Sunderland,0-0,draw
26-08-2023,– Huddersfield,Norwich,0-4,away
26-08-2023,– Ipswich,Leeds,3-4,away
26-08-2023,– Millwall,Stoke,1-0,home
26-08-2023,– Preston,Swansea,2-1,home
26-08-2023,– WBA,Middlesbrough,4-2,home
26-08-2023,– B. Monchengladbach,Bayer Leverkusen,0-3,away
26-08-2023,– Verona,Roma,2-1,home
26-08-2023,– Watford,Blackburn,0-1,away
26-08-2023,– Burnley,Aston Villa,1-3,away
26-08-2023,– Strasbourg,Toulouse,2-0,home
26-08-2023,– Mainz,Eintracht Frankfurt,1-1,draw
26-08-2023,– Newcastle,Liverpool,1-2,away
26-08-2023,– Villarreal,Barcelona,3-4,away
26-08-2023,– Valencia,Osasuna,1-2,away
26-08-2023,– Nice,Olympique Lyon,0-0,draw
19-08-2023,– Fulham,Brentford,0-3,away
19-08-2023,– Bristol City,Birmingham,0-2,away
19-08-2023,– QPR,Ipswich,0-1,away
19-08-2023,– Sheffield Wed,Preston,0-1,away
19-08-2023,– Stoke,Watford,1-0,home
19-08-2023,– Swansea,Coventry,1-1,draw
19-08-2023,– Tottenham,Manchester Utd,2-0,home
19-08-2023,– Empoli,Verona,0-1,away
19-08-2023,– Genoa,Fiorentina,1-4,away
19-08-2023,– Osasuna,Ath Bilbao,0-2,away
19-08-2023,– Norwich,Millwall,3-1,home
19-08-2023,– Union Berlin,Mainz,4-1,home
19-08-2023,– Monaco,Strasbourg,3-0,home
19-08-2023,– West Ham,Chelsea,3-1,home
19-08-2023,– Girona,Getafe,3-0,home
19-08-2023,– Sassuolo,Atalanta,0-2,away
19-08-2023,– Lecce,Lazio,2-1,home
19-08-2023,– Udinese,Juventus,0-3,away
19-08-2023,– Lens,Rennes,1-1,draw
19-08-2023,– Betis,Atl. Madrid,0-0,draw
12-08-2023,– Bournemouth,West Ham,1-1,draw
12-08-2023,– Everton,Fulham,0-1,away
12-08-2023,– Sheffield Utd,Crystal Palace,0-1,away
12-08-2023,– Cardiff,QPR,1-2,away
12-08-2023,– Hull,Sheffield Wed,4-2,home
12-08-2023,– Ipswich,Stoke,2-0,home
12-08-2023,– Preston,Sunderland,2-1,home
12-08-2023,– Rotherham,Blackburn,2-2,draw
12-08-2023,– WBA,Swansea,3-2,home
12-08-2023,– Las Palmas,Mallorca,1-1,draw
12-08-2023,– Ath Bilbao,Real Madrid,0-2,away
12-08-2023,– Brentford,Tottenham,2-2,draw
12-08-2023,– Clermont,Monaco,2-4,away
12-08-2023,– Montpellier,Le Havre,2-2,draw
12-08-2023,– Nantes,Toulouse,1-2,away
12-08-2023,– Celta Vigo,Osasuna,0-2,away
12-08-2023,– Aalesund,Ham-Kam,0-2,away
12-08-2023,– Lillestrom,Viking,1-3,away
12-08-2023,– Chelsea,Liverpool,1-1,draw
12-08-2023,– Strasbourg,Olympique Lyon,2-1,home
05-08-2023,– Blackburn,WBA,2-1,home
05-08-2023,– Bristol City,Preston,1-1,draw
05-08-2023,– Middlesbrough,Millwall,0-1,away
05-08-2023,– Plymouth,Huddersfield,3-1,home
05-08-2023,– Watford,QPR,4-0,home
05-08-2023,– Dundee,Motherwell,1-1,draw
05-08-2023,– Livingston,Aberdeen,0-0,draw
05-08-2023,– St Johnstone,Hearts,0-2,away
05-08-2023,– Zurich,Lugano,3-0,home
05-08-2023,– Karlsruher,Hamburger,2-2,draw
05-08-2023,– Magdeburg,Braunschweig,2-1,home
05-08-2023,– Nurnberg,Hannover,2-2,draw
05-08-2023,– Anderlecht,Antwerp,1-0,home
05-08-2023,– Kalmar,AIK,1-1,draw
05-08-2023,– Hibernian,St. Mirren,2-3,away
05-08-2023,– Lyngby,Midtjylland,4-1,home
05-08-2023,– Baltika,Fakel,2-1,home
05-08-2023,– Grasshoppers,Basel,3-1,home
05-08-2023,– Sunderland,Ipswich,1-2,away
05-08-2023,– Sochi,Akhmat Grozny,1-2,away
29-07-2023,– SJK,Helsinki,1-2,away
29-07-2023,– Hartberg,A. Lustenau,2-2,draw
29-07-2023,– WSG Tirol,Austria Klagenfurt,1-3,away
29-07-2023,– Wolfsberger,BW Linz,2-1,home
29-07-2023,– Degerfors,Brommapojkarna,2-0,home
29-07-2023,– Lausanne,Grasshoppers,1-1,draw
29-07-2023,– Lugano,St. Gallen,1-0,home
29-07-2023,– Halmstad,Varbergs BoIS FC,0-5,away
29-07-2023,– Fortuna Dusseldorf,Hertha Berlin,1-0,home
29-07-2023,– Braunschweig,Holstein Kiel,0-1,away
29-07-2023,– Greuther Furth,Paderborn,5-0,home
29-07-2023,– Hansa Rostock,Nurnberg,2-0,home
29-07-2023,– Haka,Lahti,1-1,draw
29-07-2023,– Mjallby,Djurgarden,0-1,away
29-07-2023,– Honka,AC Oulu,4-1,home
29-07-2023,– Fakel,Lokomotiv Moscow,1-4,away
29-07-2023,– Austria Vienna,Sturm Graz,0-3,away
29-07-2023,– Aalesund,Stromsgodset,1-0,home
29-07-2023,– Goteborg,Kalmar,2-0,home
29-07-2023,– Akhmat Grozny,CSKA,2-3,away
22-07-2023,– Grasshoppers,Servette,1-3,away
22-07-2023,– St. Gallen,Basel,2-1,home
22-07-2023,– Akhmat Grozny,Krylya Sovetov,1-2,away
22-07-2023,– Koper,Olimpija,2-1,home
22-07-2023,– Winterthur,Luzern,0-0,draw
22-07-2023,– Lahti,Mariehamn,0-2,away
22-07-2023,– Bellinzona,Wil,0-2,away
22-07-2023,– Vaduz,Sion,0-2,away
22-07-2023,– AIK,Malmo,0-0,draw
22-07-2023,– Liberec,Ostrava,3-1,home
22-07-2023,– Odense,Randers,2-2,draw
22-07-2023,– Ham-Kam,Stabaek,3-2,home
22-07-2023,– Haugesund,Lillestrom,1-0,home
22-07-2023,– Odd Grenland,Valerenga,2-1,home
22-07-2023,– Tromso,Brann,3-1,home
22-07-2023,– Goteborg,Halmstad,0-0,draw
22-07-2023,– Silkeborg,Brondby,1-2,away
22-07-2023,– Stromsgodset,Rosenborg,0-1,away
22-07-2023,– Aluminij,Celje,2-2,draw
22-07-2023,– Lok. Zagreb,Istra 1961,1-1,draw
15-07-2023,– VPS,AC Oulu,3-0,home
15-07-2023,– Ostersund,Landskrona,4-1,home
15-07-2023,– Degerfors,Sirius,0-3,away
15-07-2023,– Hermannstadt,Farul Constanta,0-1,away
15-07-2023,– Valerenga,Molde,0-4,away
15-07-2023,– D. Zagreb,Hajduk Split,1-0,home
15-07-2023,– Rakow,Legia,0-0,draw
15-07-2023,– Tokyo,Kashima Antlers,1-3,away
15-07-2023,– Gamba Osaka,Kashiwa Reysol,3-1,home
15-07-2023,– Kyoto Purple Sanga,Nagoya GE,2-1,home
15-07-2023,– Shonan Bellmare,Fukuoka,0-1,away
15-07-2023,– Hammarby TFF,Kalmar,3-1,home
15-07-2023,– AFC Eskilstuna,Brage,2-1,home
15-07-2023,– Aalesund,Odd Grenland,0-3,away
15-07-2023,– Rosenborg,Tromso,2-1,home
15-07-2023,– Stabaek,Viking,0-1,away
15-07-2023,– Mjallby,Norrkoping,1-2,away
15-07-2023,– Lahti,SJK,1-1,draw
15-07-2023,– Fluminense,Flamengo,0-0,draw
15-07-2023,– Internacional,Palmeiras,0-0,draw
08-07-2023,– Haka,Inter Turku,2-2,draw
08-07-2023,– SJK,Honka,1-0,home
08-07-2023,– Gefle,AFC Eskilstuna,2-0,home
08-07-2023,– Farul Constanta,Sepsi,0-1,away
08-07-2023,– Montreal,Atlanta Utd,0-1,away
08-07-2023,– Charlotte FC,Cincinnati,2-2,draw
08-07-2023,– New York,New England,2-1,home
08-07-2023,– Toronto,St. Louis City,0-1,away
08-07-2023,– Chicago,Nashville,1-0,home
08-07-2023,– Fredrikstad,Kongsvinger,1-1,draw
08-07-2023,– Moss,Bryne,2-1,home
08-07-2023,– Sirius,Hammarby TFF,1-2,away
08-07-2023,– Brage,Orgryte,4-1,home
08-07-2023,– Rosenborg,Lillestrom,1-2,away
08-07-2023,– Sandefjord,Stabaek,0-0,draw
08-07-2023,– Stromsgodset,Sarpsborg 08,5-2,home
08-07-2023,– Tromso,Valerenga,0-0,draw
08-07-2023,– Kalmar,Elfsborg,0-4,away
08-07-2023,– Mariehamn,AC Oulu,1-2,away
08-07-2023,– Molde,Brann,2-0,home
01-07-2023,– Valerenga,Viking,1-2,away
01-07-2023,– Haugesund,Odd Grenland,2-1,home
01-07-2023,– Aalesund,Rosenborg,1-0,home
01-07-2023,– Brommapojkarna,AIK,0-2,away
01-07-2023,– Degerfors,Varnamo,0-2,away
01-07-2023,– Halmstad,Goteborg,0-0,draw
01-07-2023,– Honka,Helsink,1-1,draw
01-07-2023,– Ilves,SJK,1-1,draw
01-07-2023,– VPS,Inter Turku,3-0,home
01-07-2023,– El Salvador,Costa Rica,0-0,draw
01-07-2023,– Cuba,Guadeloupe,1-4,away
01-07-2023,– San Lorenzo,Rosario Central,1-0,home
01-07-2023,– Sao Paulo,Fluminense,1-0,home
01-07-2023,– Internacional,Cruzeiro,0-0,draw
01-07-2023,– Corinthians,Bragantino,0-1,away
01-07-2023,– Athletico-PR,Palmeiras,2-2,draw
01-07-2023,– Inter Miami,Austin FC,1-1,draw
01-07-2023,– Columbus Crew,New York Red Bulls,2-1,home
01-07-2023,– CF Montreal,New York City,0-1,away
01-07-2023,– FC Cincinnati,New England Revolution,2-2,draw
24-06-2023,– Huracan,Newells Old Boys,1-1,draw
24-06-2023,– Argentinos Jrs,Defensa y Justicia,3-1,home
24-06-2023,– Viking,Brann,3-1,home
24-06-2023,– Portugal U21,Netherlands U21,1-1,draw
24-06-2023,– Romania U21,Ukraine U21,0-1,away
24-06-2023,– Sogndal,Fredrikstad,0-1,away
24-06-2023,– Athletico-PR,Corinthians,1-0,home
24-06-2023,– Union de Santa Fe,Independiente,3-0,home
24-06-2023,– Lanus,Talleres,2-1,home
24-06-2023,– DC United,Cincinnati,3-0,home
24-06-2023,– Cruzeiro,Sao Paulo,1-0,home
24-06-2023,– Colorado,Los Angeles Galaxy,0-0,draw
24-06-2023,– Salt Lake,Minnesota,2-2,draw
24-06-2023,– San Jose,St. Louis City,1-2,away
24-06-2023,– Seattle,Orlando City,0-0,draw
24-06-2023,– Ham-Kam,Odd Grenland,0-1,away
24-06-2023,– Rosenborg,Sarpsborg 08,0-3,away
24-06-2023,– Tromso,Stabaek,2-1,home
24-06-2023,– Switzerland U21,Italy U21,2-3,away
24-06-2023,– Arsenal Sarandi,Platense,0-2,away
17-06-2023,– KaPa,JaPS,3-1,home
17-06-2023,– Saipa,Gnistan,1-3,away
17-06-2023,– SJK II,HIFK,2-2,draw
17-06-2023,– Lithuania,Bulgaria,1-1,draw
17-06-2023,– Norway,Scotland,1-2,away
17-06-2023,– Azerbaijan,Estonia,1-1,draw
17-06-2023,– Montenegro,Hungary,0-0,draw
17-06-2023,– Cyprus,Georgia,1-2,away
17-06-2023,– Iceland,Slovakia,1-2,away
17-06-2023,– Levante,Alaves,0-0,draw
17-06-2023,– New York City,Columbus,1-1,draw
17-06-2023,– New England,Orlando City,3-1,home
17-06-2023,– Guyana,Grenada,1-1,draw
17-06-2023,– San Jose,Portland,0-0,draw
17-06-2023,– Shimizu SP,Urawa RD,1-1,draw
17-06-2023,– Bellmare S.,Kawasaki F.,2-3,away
17-06-2023,– Nagoya GE,Sanfrecce Hiroshima,2-1,home
17-06-2023,– Kashiwa R.,Fukuoka,0-1,away
17-06-2023,– Cerezo Osaka,Gamba Osaka,0-1,away
17-06-2023,– Kyoto Purple Sanga,Tokyo,1-3,away
10-06-2023,– Varbergs BoIS FC,Halmstad,1-2,away
10-06-2023,– Montreal,Minnesota,4-0,home
10-06-2023,– Charlotte FC,Seattle,3-3,draw
10-06-2023,– Toronto,Nashville,1-1,draw
10-06-2023,– Chicago,Columbus,1-2,away
10-06-2023,– Houston,Los Angeles,4-0,home
10-06-2023,– Kansas City,Austin,4-1,home
10-06-2023,– Salt Lake,New York City,0-0,draw
10-06-2023,– San Jose,Philadelphia,2-1,home
10-06-2023,– Bryne,Asane,1-2,away
