date,home_team,away_team,score,result
09-12-2023,Wolverhampton,Nottingham,1-1,draw
09-12-2023,Cardiff,Millwall,1-0,home
09-12-2023,Huddersfield,Bristol City,1-1,draw
09-12-2023,Middlesbrough,Ipswich,0-2,away
09-12-2023,Norwich,Preston,0-0,draw
09-12-2023,QPR,Hull,2-0,home
09-12-2023,Rotherham,Swansea,1-2,away
09-12-2023,Stoke,Sheffield Wed,0-1,away
09-12-2023,Watford,Southampton,1-1,draw
09-12-2023,Rennes,Monaco,1-2,away
09-12-2023,Atalanta,Milan,3-2,home
09-12-2023,Aston Villa,Arsenal,1-0,home
09-12-2023,Dortmund,RB Leipzig,2-3,away
09-12-2023,Villarreal,Real Sociedad,0-3,away
09-12-2023,Everton,Chelsea,2-0,home
09-12-2023,Fulham,West Ham,5-0,home
09-12-2023,Stuttgart,Leverkusen,1-1,draw
09-12-2023,Tottenham,Newcastle,4-1,home
09-12-2023,Koln,Mainz,0-0,draw
09-12-2023,Roma,Fiorentina,1-1,draw
02-12-2023,Burnley,Sheffield Utd,5-0,home
02-12-2023,Hull,Watford,1-2,away
02-12-2023,Millwall,Sunderland,1-1,draw
02-12-2023,Plymouth,Stoke,2-1,home
02-12-2023,Sheffield Wed,Blackburn,3-1,home
02-12-2023,Nottingham,Everton,0-1,away
02-12-2023,Newcastle,Manchester Utd,1-0,home
02-12-2023,Osasuna,Real Sociedad,1-1,draw
02-12-2023,Lecce,Bologna,1-1,draw
02-12-2023,Mallorca,Alaves,0-0,draw
02-12-2023,Bristol City,Norwich,1-2,away
02-12-2023,Bournemouth,Aston Villa,2-2,draw
02-12-2023,West Ham,Crystal Palace,1-1,draw
02-12-2023,Mainz,Freiburg,0-1,away
02-12-2023,Almeria,Betis,0-0,draw
02-12-2023,Sassuolo,AS Roma,1-2,away
02-12-2023,Sevilla,Villarreal,1-1,draw
02-12-2023,Augsburg,Eintracht Frankfurt,2-1,home
02-12-2023,Napoli,Inter,0-3,away
02-12-2023,Barcelona,Atl. Madrid,1-0,home
25-11-2023,Burnley,West Ham,1-2,away
25-11-2023,Luton,Crystal Palace,2-1,home
25-11-2023,Newcastle,Chelsea,4-1,home
25-11-2023,Nottingham,Brighton,2-3,away
25-11-2023,Sheffield Utd,Bournemouth,1-3,away
25-11-2023,Birmingham,Sheffield Wed,2-1,home
25-11-2023,Millwall,Coventry,0-3,away
25-11-2023,Plymouth,Sunderland,2-0,home
25-11-2023,Preston,Cardiff,1-2,away
25-11-2023,Stoke,Blackburn,0-3,away
25-11-2023,Swansea,Hull,2-2,draw
25-11-2023,Valencia,Celta Vigo,0-0,draw
25-11-2023,Atalanta,Napoli,1-2,away
25-11-2023,WBA,Ipswich,2-0,home
25-11-2023,Milan,Fiorentina,1-0,home
25-11-2023,Villarreal,Osasuna,3-1,home
25-11-2023,Tottenham,Aston Villa,1-2,away
25-11-2023,Everton,Manchester Utd,0-3,away
25-11-2023,Juventus,Inter,1-1,draw
25-11-2023,Olympique Lyon,Lille,0-2,away
18-11-2023,Alcorcon,Gijon,0-0,draw
18-11-2023,Tondela,Feirense,2-0,home
18-11-2023,Niger,Tanzania,0-1,away
18-11-2023,Amorebieta,Tenerife,2-0,home
18-11-2023,Zaragoza,Huesca,0-2,away
18-11-2023,Israel,Romania,1-2,away
18-11-2023,Vitoria,Sport Recife,1-0,home
18-11-2023,Espanyol,Elche,2-0,home
18-11-2023,Fortaleza,Cruzeiro,0-1,away
18-11-2023,Ferrol,Burgos CF,1-1,draw
18-11-2023,Cambuur,Roda,1-1,draw
18-11-2023,Os Belenenses,Penafiel,2-0,home
18-11-2023,Penybont,Newtown,1-1,draw
18-11-2023,Eldense,Mirandes,2-2,draw
18-11-2023,Oviedo,Eibar,2-1,home
18-11-2023,MVV,NAC Breda,1-4,away
18-11-2023,Cartagena,Albacete,1-1,draw
18-11-2023,Villarreal II,Andorra,0-0,draw
18-11-2023,Scotland,Norway,3-3,draw
18-11-2023,B&H,Slovakia,1-2,away
11-11-2023,Crystal Palace,Everton,2-3,away
11-11-2023,Cardiff,Norwich,2-3,away
11-11-2023,Coventry,Stoke,0-0,draw
11-11-2023,Middlesbrough,Leicester,1-0,home
11-11-2023,QPR,Bristol City,0-0,draw
11-11-2023,Sheffield Wed,Millwall,0-4,away
11-11-2023,Southampton,WBA,2-1,home
11-11-2023,Bochum,Koln,1-1,draw
11-11-2023,Granada,Getafe,1-1,draw
11-11-2023,Osasuna,Las Palmas,1-1,draw
11-11-2023,RKC Waalwijk,Go Ahead,0-1,away
11-11-2023,Monza,Torino,1-1,draw
11-11-2023,Vitesse,Heerenveen,1-3,away
11-11-2023,Volendam,Sparta,1-4,away
11-11-2023,Fiorentina,Bologna,2-1,home
11-11-2023,Udinese,Atalanta,1-1,draw
11-11-2023,Werder,Eintracht Frankfurt,2-2,draw
11-11-2023,Lazio,Roma,0-0,draw
11-11-2023,Sevilla,Betis,1-1,draw
11-11-2023,Lens,Olympique Marseille,1-0,home
04-11-2023,– Brentford,West Ham,3-2,home
04-11-2023,– Burnley,Crystal Palace,0-2,away
04-11-2023,– Everton,Brighton,1-1,draw
04-11-2023,– Sheffield Utd,Wolverhampton,2-1,home
04-11-2023,– Sampdoria,Palermo,1-0,home
04-11-2023,– Atalanta,Inter,1-2,away
04-11-2023,– Newcastle,Arsenal,1-0,home
04-11-2023,– Celta Vigo,Sevilla,1-1,draw
04-11-2023,– Sociedad,Barcelona,0-1,away
04-11-2023,– Olympique Marseille,Lille,0-0,draw
04-11-2023,– Verona,Monza,1-3,away
04-11-2023,– Hansa Rostock,Hertha Berlin,0-0,draw
04-11-2023,– Karlsruher SC,Paderborn,0-3,away
04-11-2023,– Cagliari,Genoa,2-1,home
04-11-2023,– Nantes,Reims,0-1,away
04-11-2023,– Strasbourg,Clermont,0-0,draw
04-11-2023,– Toulouse,Le Havre,1-2,away
04-11-2023,– Villarreal,Ath Bilbao,2-3,away
04-11-2023,– Fiorentina,Juventus,0-1,away
04-11-2023,– Nice,Rennes,2-0,home
28-10-2023,– Bournemouth,Burnley,2-1,home
28-10-2023,– Blackburn,Swansea,0-1,away
28-10-2023,– Cardiff,Bristol City,2-0,home
28-10-2023,– Barcelona,Real Madrid,1-2,away
28-10-2023,– Lecce,Torino,0-1,away
28-10-2023,– Mallorca,Getafe,0-0,draw
28-10-2023,– Kaiserslautern,Hamburger SV,3-3,draw
28-10-2023,– Cadiz,Sevilla,2-2,draw
28-10-2023,– Cagliari,Frosinone,4-3,home
28-10-2023,– Holstein Kiel,Nurnberg,0-2,away
28-10-2023,– Magdeburg,Elversberg,1-2,away
28-10-2023,– Wehen,Hansa Rostock,1-0,home
28-10-2023,– Betis,Osasuna,2-1,home
28-10-2023,– West Ham,Everton,0-1,away
28-10-2023,– Lille,Monaco,2-0,home
28-10-2023,– Metz,Le Havre,0-0,draw
28-10-2023,– Monza,Udinese,1-1,draw
28-10-2023,– Eintracht Frankfurt,Dortmund,3-3,draw
28-10-2023,– Rayo Vallecano,Real Sociedad,2-2,draw
28-10-2023,– Napoli,Milan,2-2,draw
21-10-2023,– Bournemouth,Wolverhampton,1-2,away
21-10-2023,– Blackburn,Cardiff,1-0,home
21-10-2023,– Bristol City,Coventry,1-0,home
21-10-2023,– Huddersfield,QPR,2-1,home
21-10-2023,– Hull,Southampton,1-2,away
21-10-2023,– Norwich,Leeds,2-3,away
21-10-2023,– Stoke,Sunderland,2-1,home
21-10-2023,– Getafe,Betis,1-1,draw
21-10-2023,– Chelsea,Arsenal,2-2,draw
21-10-2023,– Sevilla,Real Madrid,1-1,draw
21-10-2023,– Sassuolo,Lazio,0-2,away
21-10-2023,– Celta Vigo,Atl. Madrid,0-3,away
21-10-2023,– Nice,Olympique Marseille,1-0,home
21-10-2023,– Las Palmas,Rayo Vallecano,0-1,away
21-10-2023,– Salernitana,Cagliari,2-2,draw
21-10-2023,– Nantes,Montpellier,2-0,home
21-10-2023,– Toulouse,Reims,1-1,draw
21-10-2023,– Koln,B. Monchengladbach,3-1,home
21-10-2023,– Aston Villa,West Ham,4-1,home
21-10-2023,– Milan,Juventus,0-1,away
14-10-2023,– Blackpool,Stevenage,3-0,home
14-10-2023,– Cambridge Utd,Shrewsbury,1-1,draw
14-10-2023,– Carlisle,Leyton Orient,0-1,away
14-10-2023,– Mirandes,Tenerife,1-1,draw
14-10-2023,– Bielefeld,Mannheim,3-1,home
14-10-2023,– Slovenia,Finland,3-0,home
14-10-2023,– Cartagena,Santander,2-3,away
14-10-2023,– Gijon,Zaragoza,2-2,draw
14-10-2023,– Longford,Bray,2-2,draw
14-10-2023,– Hungary,Serbia,2-1,home
14-10-2023,– Finn Harps,Athlone,4-1,home
14-10-2023,– Ituano,CRB,0-0,draw
14-10-2023,– Cuiaba,Cruzeiro,0-0,draw
14-10-2023,– Los Angeles Galaxy,Real Salt Lake,2-2,draw
14-10-2023,– Ulm,Dynamo Dresden,2-3,away
14-10-2023,– Burgos,Villarreal II,3-2,home
14-10-2023,– Eldense,Elche,1-1,draw
14-10-2023,– Andorra,Alcorcon,2-0,home
